filename,session_id,verdict,S_composite,S_unprompted,S_prompted,S_gap,S_snr,S_duration,S_confidence,S_boundary,S_stability,ast_z,ast_p,flags,composition_flags
Script_1_0001.wav,Script_1_1-122,ACCEPT,0.8514,1.0,1.0,1.0,1.0,0.7617,0.5,1.0,,-0.7149,0.4747,unprompted_not_available,
Script_1_0002.wav,Script_1_1-122,ACCEPT,0.8617,1.0,1.0,1.0,1.0,0.8187,0.5,1.0,,0.5438,0.5866,unprompted_not_available,
Script_1_0003.wav,Script_1_1-122,ACCEPT,0.8473,1.0,1.0,1.0,1.0,0.7398,0.5,1.0,,0.7805,0.4351,unprompted_not_available,
Script_1_0004.wav,Script_1_1-122,ACCEPT,0.8,1.0,1.0,1.0,1.0,0.5244,0.5,1.0,,1.4269,0.1536,unprompted_not_available,
Script_1_0005.wav,Script_1_1-122,ACCEPT,0.7875,1.0,1.0,1.0,1.0,0.4771,0.5,1.0,,1.5687,0.1167,unprompted_not_available,
Script_1_0006.wav,Script_1_1-122,ACCEPT,0.8822,1.0,1.0,1.0,1.0,0.9429,0.5,1.0,,-0.1712,0.8641,unprompted_not_available,
Script_1_0007.wav,Script_1_1-122,ACCEPT,0.8264,1.0,1.0,1.0,1.0,0.637,0.5,1.0,,1.089,0.2762,unprompted_not_available,
Script_1_0008.wav,Script_1_1-122,ACCEPT,0.8616,1.0,1.0,1.0,1.0,0.818,0.5,1.0,,0.5461,0.585,unprompted_not_available,
Script_1_0009.wav,Script_1_1-122,ACCEPT,0.8884,1.0,1.0,1.0,1.0,0.9832,0.5,1.0,,-0.0503,0.9599,unprompted_not_available,
Script_1_0010.wav,Script_1_1-122,ACCEPT,0.8089,1.0,1.0,1.0,1.0,0.5604,0.5,1.0,,-1.3188,0.1872,unprompted_not_available,
Script_1_0011.wav,Script_1_1-122,ACCEPT,0.8694,1.0,1.0,1.0,1.0,0.8635,0.5,1.0,,-0.4094,0.6822,unprompted_not_available,
Script_1_0012.wav,Script_1_1-122,ACCEPT,0.8775,1.0,1.0,1.0,1.0,0.9134,0.5,1.0,,-0.2598,0.795,unprompted_not_available,
Script_1_0013.wav,Script_1_1-122,ACCEPT,0.8141,1.0,1.0,1.0,1.0,0.5823,0.5,1.0,,1.253,0.2102,unprompted_not_available,
Script_1_0014.wav,Script_1_1-122,ACCEPT,0.7891,0.9429,0.9429,1.0,1.0,0.5122,0.5,1.0,,-1.4634,0.1434,unprompted_not_available,
Script_1_0015.wav,Script_1_1-122,ACCEPT,0.8674,1.0,1.0,1.0,1.0,0.8518,0.5,1.0,,0.4445,0.6567,unprompted_not_available,
Script_1_0016.wav,Script_1_1-122,ACCEPT,0.8857,1.0,1.0,1.0,1.0,0.9654,0.5,1.0,,0.1037,0.9174,unprompted_not_available,
Script_1_0017.wav,Script_1_1-122,ACCEPT,0.8666,1.0,1.0,1.0,1.0,0.8469,0.5,1.0,,-0.4593,0.646,unprompted_not_available,
Script_1_0018.wav,Script_1_1-122,ACCEPT,0.8823,1.0,1.0,1.0,1.0,0.9436,0.5,1.0,,-0.1691,0.8657,unprompted_not_available,
Script_1_0019.wav,Script_1_1-122,ACCEPT,0.872,1.0,1.0,1.0,1.0,0.8793,0.5,1.0,,-0.3622,0.7172,unprompted_not_available,
Script_1_0020.wav,Script_1_1-122,ACCEPT,0.8776,1.0,1.0,1.0,1.0,0.9136,0.5,1.0,,0.2593,0.7954,unprompted_not_available,
Script_1_0021.wav,Script_1_1-122,ACCEPT,0.8901,1.0,1.0,1.0,1.0,0.9945,0.5,1.0,,-0.0165,0.9869,unprompted_not_available,
Script_1_0022.wav,Script_1_1-122,ACCEPT,0.8064,1.0,1.0,1.0,1.0,0.5499,0.5,1.0,,-1.3504,0.1769,unprompted_not_available,
Script_1_0023.wav,Script_1_1-122,ACCEPT,0.8825,1.0,1.0,1.0,1.0,0.9448,0.5,1.0,,-0.1656,0.8685,unprompted_not_available,
Script_1_0024.wav,Script_1_1-122,ACCEPT,0.8728,1.0,1.0,1.0,1.0,0.8844,0.5,1.0,,0.3467,0.7288,unprompted_not_available,
Script_1_0025.wav,Script_1_1-122,ACCEPT,0.8653,1.0,1.0,1.0,1.0,0.8393,0.5,1.0,,-0.4821,0.6297,unprompted_not_available,
Script_1_0026.wav,Script_1_1-122,ACCEPT,0.7806,1.0,1.0,1.0,1.0,0.4524,0.5,1.0,,1.6429,0.1004,unprompted_not_available,
Script_1_0027.wav,Script_1_1-122,ACCEPT,0.8509,1.0,1.0,1.0,1.0,0.759,0.5,1.0,,0.723,0.4697,unprompted_not_available,
Script_1_0028.wav,Script_1_1-122,ACCEPT,0.8613,1.0,1.0,1.0,1.0,0.8162,0.5,1.0,,0.5513,0.5815,unprompted_not_available,
Script_1_0029.wav,Script_1_1-122,ACCEPT,0.8874,1.0,1.0,1.0,1.0,0.9764,0.5,1.0,,-0.0708,0.9435,unprompted_not_available,
Script_1_0030.wav,Script_1_1-122,ACCEPT,0.8559,1.0,1.0,1.0,1.0,0.7865,0.5,1.0,,-0.6406,0.5218,unprompted_not_available,
Script_1_0031.wav,Script_1_1-122,ACCEPT,0.86,1.0,1.0,1.0,1.0,0.8093,0.5,1.0,,-0.5722,0.5672,unprompted_not_available,
Script_1_0032.wav,Script_1_1-122,ACCEPT,0.857,1.0,1.0,1.0,1.0,0.7923,0.5,1.0,,-0.6231,0.5332,unprompted_not_available,
Script_1_0033.wav,Script_1_1-122,ACCEPT,0.8497,0.9444,0.9444,1.0,1.0,0.7968,0.5,1.0,,-0.6097,0.5421,unprompted_not_available,
Script_1_0034.wav,Script_1_1-122,ACCEPT,0.8873,1.0,1.0,1.0,1.0,0.9758,0.5,1.0,,-0.0725,0.9422,unprompted_not_available,
Script_1_0035.wav,Script_1_1-122,ACCEPT,0.8425,1.0,1.0,1.0,1.0,0.7155,0.5,1.0,,0.8536,0.3933,unprompted_not_available,
Script_1_0036.wav,Script_1_1-122,ACCEPT,0.8131,1.0,1.0,1.0,1.0,0.578,0.5,1.0,,1.2659,0.2055,unprompted_not_available,
Script_1_0037.wav,Script_1_1-122,ACCEPT,0.8691,1.0,1.0,1.0,1.0,0.8618,0.5,1.0,,0.4146,0.6784,unprompted_not_available,
Script_1_0038.wav,Script_1_1-122,ACCEPT,0.8271,1.0,1.0,1.0,1.0,0.6404,0.5,1.0,,-1.0787,0.2807,unprompted_not_available,
Script_1_0039.wav,Script_1_1-122,ACCEPT,0.8716,1.0,1.0,1.0,1.0,0.8767,0.5,1.0,,0.3699,0.7115,unprompted_not_available,
Script_1_0040.wav,Script_1_1-122,ACCEPT,0.8874,1.0,1.0,1.0,1.0,0.9764,0.5,1.0,,-0.0708,0.9435,unprompted_not_available,
Script_1_0041.wav,Script_1_1-122,ACCEPT,0.8747,1.0,1.0,1.0,1.0,0.8958,0.5,1.0,,-0.3127,0.7545,unprompted_not_available,
Script_1_0042.wav,Script_1_1-122,ACCEPT,0.8344,1.0,1.0,1.0,1.0,0.6751,0.5,1.0,,0.9746,0.3298,unprompted_not_available,
Script_1_0043.wav,Script_1_1-122,ACCEPT,0.8426,1.0,1.0,1.0,1.0,0.7159,0.5,1.0,,-0.8523,0.394,unprompted_not_available,
Script_1_0044.wav,Script_1_1-122,PENDING,0.6763,1.0,1.0,1.0,1.0,0.1913,0.5,1.0,,2.4261,0.0153,"unprompted_not_available|HUMAN_REVIEW_NEEDED|AST_anomaly_slow|z=2.43,p=0.0153,AST=0.2188vs0.1916s/char,session=Script_1_1-122","unprompted_not_available|HUMAN_REVIEW_NEEDED|AST_anomaly_slow|z=2.43,p=0.0153,AST=0.2188vs0.1916s/char,session=Script_1_1-122"
Script_1_0045.wav,Script_1_1-122,ACCEPT,0.8511,1.0,1.0,1.0,1.0,0.76,0.5,1.0,,0.7199,0.4716,unprompted_not_available,
Script_1_0046.wav,Script_1_1-122,ACCEPT,0.7846,0.9655,0.9655,1.0,1.0,0.4831,0.5,1.0,,1.5507,0.121,unprompted_not_available,
Script_1_0047.wav,Script_1_1-122,ACCEPT,0.8698,1.0,1.0,1.0,1.0,0.8662,0.5,1.0,,-0.4015,0.6881,unprompted_not_available,
Script_1_0048.wav,Script_1_1-122,ACCEPT,0.8663,1.0,1.0,1.0,1.0,0.8455,0.5,1.0,,-0.4634,0.6431,unprompted_not_available,
Script_1_0049.wav,Script_1_1-122,ACCEPT,0.8458,1.0,1.0,1.0,1.0,0.7322,0.5,1.0,,-0.8034,0.4218,unprompted_not_available,
Script_1_0050.wav,Script_1_1-122,ACCEPT,0.8116,1.0,1.0,1.0,1.0,0.5716,0.5,1.0,,-1.2851,0.1987,unprompted_not_available,
Script_1_0051.wav,Script_1_1-122,ACCEPT,0.8363,1.0,1.0,1.0,1.0,0.6844,0.5,1.0,,0.9467,0.3438,unprompted_not_available,
Script_1_0052.wav,Script_1_1-122,ACCEPT,0.8839,1.0,1.0,1.0,1.0,0.9535,0.5,1.0,,-0.1394,0.8892,unprompted_not_available,
Script_1_0053.wav,Script_1_1-122,ACCEPT,0.8521,1.0,1.0,1.0,1.0,0.7654,0.5,1.0,,-0.7038,0.4816,unprompted_not_available,
Script_1_0054.wav,Script_1_1-122,PENDING,0.7243,0.9474,0.9474,1.0,1.0,0.3047,0.5,1.0,,-2.0858,0.037,"unprompted_not_available|HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-2.09,p=0.0370,AST=0.1682vs0.1916s/char,session=Script_1_1-122","unprompted_not_available|HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-2.09,p=0.0370,AST=0.1682vs0.1916s/char,session=Script_1_1-122"
Script_1_0055.wav,Script_1_1-122,ACCEPT,0.8689,1.0,1.0,1.0,1.0,0.8608,0.5,1.0,,0.4176,0.6762,unprompted_not_available,
Script_1_0056.wav,Script_1_1-122,ACCEPT,0.8732,1.0,1.0,1.0,1.0,0.8869,0.5,1.0,,-0.3394,0.7343,unprompted_not_available,
Script_1_0057.wav,Script_1_1-122,ACCEPT,0.8334,1.0,1.0,1.0,1.0,0.6702,0.5,1.0,,0.9894,0.3225,unprompted_not_available,
