filename,session_id,verdict,S_composite,S_unprompted,S_prompted,S_gap,S_snr,S_duration,S_confidence,S_boundary,S_continuity,S_decay,S_stability,ast_z,ast_p,flags,composition_flags
Script_1_0001.wav,Script_1_1-122,REJECT,0.003,0.96,0.0339,1.0,1.0,0.6497,0.0,1.0,1.0,0.0,,1.051,0.2933,,
Script_1_0002.wav,Script_1_1-122,ACCEPT,0.8682,0.8667,1.0,0.8667,1.0,0.8746,0.7863,1.0,1.0,0.625,,0.3761,0.7068,,
Script_1_0003.wav,Script_1_1-122,ACCEPT,0.9546,1.0,1.0,1.0,1.0,0.8494,0.8118,1.0,1.0,1.0,,0.4519,0.6514,,
Script_1_0004.wav,Script_1_1-122,ACCEPT,0.9357,1.0,1.0,1.0,1.0,0.7561,0.7772,1.0,1.0,1.0,,0.7318,0.4643,,
Script_1_0005.wav,Script_1_1-122,REJECT,0.0,0.3611,0.3611,1.0,1.0,0.0,0.7512,1.0,1.0,0.75,,-4.3967,0.0,"HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-4.40,p=0.0000,AST=0.0583vs0.1520s/char,session=Script_1_1-122","HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-4.40,p=0.0000,AST=0.0583vs0.1520s/char,session=Script_1_1-122|hard_reject:S_unprompted"
Script_1_0006.wav,Script_1_1-122,ACCEPT,0.8973,1.0,1.0,1.0,1.0,0.8795,0.7964,1.0,1.0,0.6001,,-0.3616,0.7177,,
Script_1_0007.wav,Script_1_1-122,REJECT,0.3321,0.5405,0.5405,1.0,1.0,0.0004,0.7331,1.0,1.0,1.0,,-2.9989,0.0027,"HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-3.00,p=0.0027,AST=0.0881vs0.1520s/char,session=Script_1_1-122","HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-3.00,p=0.0027,AST=0.0881vs0.1520s/char,session=Script_1_1-122"
Script_1_0008.wav,Script_1_1-122,REJECT,0.0,0.3333,0.3333,1.0,1.0,0.0,0.7299,1.0,1.0,0.25,,-4.8962,0.0,"HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-4.90,p=0.0000,AST=0.0477vs0.1520s/char,session=Script_1_1-122","HUMAN_REVIEW_NEEDED|AST_anomaly_fast|z=-4.90,p=0.0000,AST=0.0477vs0.1520s/char,session=Script_1_1-122|hard_reject:S_unprompted"
Script_1_0009.wav,Script_1_1-122,ACCEPT,0.9638,1.0,1.0,1.0,1.0,0.9324,0.7989,1.0,1.0,1.0,,-0.2029,0.8392,,
Script_1_0010.wav,Script_1_1-122,ACCEPT,0.9489,1.0,1.0,1.0,1.0,0.8308,0.7909,1.0,1.0,1.0,,-0.5075,0.6118,,
Script_1_0011.wav,Script_1_1-122,ACCEPT,0.9376,1.0,1.0,1.0,1.0,0.9784,0.8141,1.0,1.0,0.75,,-0.0649,0.9483,,
Script_1_0012.wav,Script_1_1-122,ACCEPT,0.9674,1.0,1.0,1.0,1.0,0.9592,0.7997,1.0,1.0,1.0,,0.1224,0.9026,,
Script_1_0013.wav,Script_1_1-122,ACCEPT,0.9421,1.0,1.0,1.0,1.0,0.7866,0.789,1.0,1.0,1.0,,0.6402,0.522,,
Script_1_0014.wav,Script_1_1-122,ACCEPT,0.9402,0.9143,1.0,0.9143,1.0,0.9018,0.8099,1.0,1.0,1.0,,-0.2945,0.7684,,
Script_1_0015.wav,Script_1_1-122,ACCEPT,0.9388,0.8621,1.0,0.8621,1.0,0.9987,0.8126,1.0,1.0,1.0,,0.0038,0.997,,
