AudioFile|ScriptLine|Reason|ScriptText|WhisperText
Script_5_44-200.wav|144|SKIPPED|오두막 문 앞에 검은 우비를 입은 한 남자가 서서 나를 조용히 응시하고 있다.|
Script_5_201-541.wav|522|SKIPPED|하지만 나는 느낄 수 있다 그들의 열광적인 에너지가 무대 위로 쏟아져 내리는 것을.|
Script_5_201-541.wav|523|SKIPPED|지휘자가 다가와 나를 포옹한다 고생했어 정말 훌륭했어 라고 말하는 입 모양.|
Script_5_542-800.wav|586|SKIPPED|휠체어를 탄 할머니 팔에 깁스를 한 꼬마 아이 모두가 투쟁 중이다.|
Script_5_542-800.wav|587|SKIPPED|나만 힘든 게 아니다 모두가 각자의 십자가를 지고 삶을 견디고 있다.|
Script_5_542-800.wav|588|SKIPPED|드디어 내 차례가 되어 진료실로 들어간다 의사 선생님이 꽤나 심각한 표정이다.|
Script_5_542-800.wav|640|SKIPPED|오늘 하루도 정말 수고 많았어 하며 토닥토닥 나 자신을 꼭 안아준다.|
Script_5_542-800.wav|706|SKIPPED|너는 글을 쓰고 싶어 했잖아|
Script_5_542-800.wav|713|SKIPPED|그러니 부디 너는 매일 가슴 뛰는 삶을 살아라 뜨겁게 열정적으로 살아라.|
Script_5_542-800.wav|714|SKIPPED|오늘이 내 인생의 마지막인 것처럼 사랑하고 오늘이 마지막인 것처럼 꿈을 꿔라.|
Script_5_542-800.wav|715|SKIPPED|내 말이 고리타분한 잔소리처럼 들리겠지만 늙은이의 마지막 유언이라고 생각해 다오.|
Script_5_542-800.wav|716|SKIPPED|나는 이제 곧 죽는다 방사능 수치가 치사량을 넘은 지 오래다.|
Script_5_542-800.wav|743|SKIPPED|전송 카운트다운 십 구 팔 칠 육 오 사 삼 이 일.|
Script_5_542-800.wav|789|SKIPPED|그 편지 한 통이 내 인생의 궤도를 완전히 수정해 버렸다.|
Script_5_542-800.wav|790|SKIPPED|나는 더 이상 공무원 시험 준비 안 한다 작가가 될 거다.|
Script_5_542-800.wav|793|SKIPPED|그리고 앞으로 매일매일 감사하며 살 거다 이 평화롭고 소중한 일상을.|
